x,y1,y2,y3
-1,-0.535052587,-2.45E-16,-2.88E-16
-0.998,-0.514273591,-1.26E-02,-1.48E-02
-0.996,-0.493523191,-2.51E-02,-2.95E-02
-0.994,-0.472810986,-3.77E-02,-4.43E-02
-0.992,-0.452146564,-5.02E-02,-5.90E-02
-0.99,-0.431539491,-6.27E-02,-7.36E-02
-0.988,-0.410999309,-7.52E-02,-8.83E-02
-0.986,-0.390535528,-8.77E-02,-1.03E-01
-0.984,-0.370157619,-1.00E-01,-1.17E-01
-0.982,-0.349875014,-1.12E-01,-1.32E-01
-0.98,-0.329697091,-1.25E-01,-1.46E-01
-0.978,-0.309633176,-1.37E-01,-1.60E-01
-0.976,-0.289692533,-1.49E-01,-1.74E-01
-0.974,-0.26988436,-1.61E-01,-1.89E-01
-0.972,-0.250217782,-1.74E-01,-2.02E-01
-0.97,-0.230701847,-1.86E-01,-2.16E-01
-0.968,-0.211345517,-1.98E-01,-2.30E-01
-0.966,-0.192157669,-2.09E-01,-2.43E-01
-0.964,-0.17314708,-2.21E-01,-2.57E-01
-0.962,-0.15432243,-2.33E-01,-2.70E-01
-0.96,-0.135692293,-2.44E-01,-2.83E-01
-0.958,-0.117265131,-2.56E-01,-2.96E-01
-0.956,-0.099049291,-2.67E-01,-3.08E-01
-0.954,-0.081052996,-2.79E-01,-3.21E-01
-0.952,-0.063284345,-2.90E-01,-3.33E-01
-0.95,-0.045751304,-3.01E-01,-3.45E-01
-0.948,-0.028461702,-3.12E-01,-3.57E-01
-0.946,-0.011423227,-3.22E-01,-3.69E-01
-0.944,0.00535658,-3.33E-01,-3.80E-01
-0.942,0.021870328,-3.44E-01,-3.92E-01
-0.94,0.038110784,-3.54E-01,-4.03E-01
-0.938,0.054070873,-3.64E-01,-4.13E-01
-0.936,0.069743686,-3.74E-01,-4.24E-01
-0.934,0.085122482,-3.84E-01,-4.34E-01
-0.932,0.100200694,-3.94E-01,-4.44E-01
-0.93,0.114971932,-4.04E-01,-4.54E-01
-0.928,0.129429987,-4.13E-01,-4.63E-01
-0.926,0.143568837,-4.23E-01,-4.73E-01
-0.924,0.157382647,-4.32E-01,-4.82E-01
-0.922,0.170865774,-4.41E-01,-4.90E-01
-0.92,0.184012774,-4.50E-01,-4.99E-01
-0.918,0.1968184,-4.58E-01,-5.07E-01
-0.916,0.209277608,-4.67E-01,-5.15E-01
-0.914,0.221385561,-4.75E-01,-5.23E-01
-0.912,0.23313763,-4.83E-01,-5.30E-01
-0.91,0.2445294,-4.91E-01,-5.37E-01
-0.908,0.255556667,-4.99E-01,-5.44E-01
-0.906,0.266215446,-5.07E-01,-5.50E-01
-0.904,0.276501973,-5.14E-01,-5.57E-01
-0.902,0.286412705,-5.21E-01,-5.63E-01
-0.9,0.295944321,-5.28E-01,-5.69E-01
-0.898,0.30509373,-5.35E-01,-5.74E-01
-0.896,0.313858067,-5.42E-01,-5.79E-01
-0.894,0.322234698,-5.48E-01,-5.84E-01
-0.892,0.33022122,-5.54E-01,-5.89E-01
-0.89,0.337815462,-5.60E-01,-5.93E-01
-0.888,0.34501549,-5.66E-01,-5.97E-01
-0.886,0.351819605,-5.72E-01,-6.01E-01
-0.884,0.358226342,-5.77E-01,-6.05E-01
-0.882,0.364234477,-5.82E-01,-6.08E-01
-0.88,0.369843022,-5.87E-01,-6.12E-01
-0.878,0.37505123,-5.92E-01,-6.14E-01
-0.876,0.379858591,-5.97E-01,-6.17E-01
-0.874,0.384264837,-6.01E-01,-6.19E-01
-0.872,0.388269937,-6.06E-01,-6.22E-01
-0.87,0.391874104,-6.10E-01,-6.24E-01
-0.868,0.395077785,-6.14E-01,-6.25E-01
-0.866,0.397881672,-6.17E-01,-6.27E-01
-0.864,0.400286692,-6.21E-01,-6.28E-01
-0.862,0.402294012,-6.24E-01,-6.29E-01
-0.86,0.403905035,-6.27E-01,-6.30E-01
-0.858,0.405121403,-6.30E-01,-6.31E-01
-0.856,0.405944991,-6.33E-01,-6.31E-01
-0.854,0.40637791,-6.35E-01,-6.32E-01
-0.852,0.406422503,-6.37E-01,-6.32E-01
-0.85,0.406081346,-6.39E-01,-6.32E-01
-0.848,0.405357242,-6.41E-01,-6.31E-01
-0.846,0.404253224,-6.43E-01,-6.31E-01
-0.844,0.402772551,-6.45E-01,-6.30E-01
-0.842,0.400918706,-6.46E-01,-6.30E-01
-0.84,0.398695393,-6.47E-01,-6.29E-01
-0.838,0.396106536,-6.48E-01,-6.28E-01
-0.836,0.393156276,-6.49E-01,-6.27E-01
-0.834,0.389848968,-6.50E-01,-6.25E-01
-0.832,0.386189179,-6.50E-01,-6.24E-01
-0.83,0.382181684,-6.51E-01,-6.23E-01
-0.828,0.377831463,-6.51E-01,-6.21E-01
-0.826,0.3731437,-6.51E-01,-6.19E-01
-0.824,0.368123777,-6.51E-01,-6.17E-01
-0.822,0.362777273,-6.50E-01,-6.16E-01
-0.82,0.357109957,-6.50E-01,-6.14E-01
-0.818,0.351127788,-6.49E-01,-6.12E-01
-0.816,0.344836909,-6.49E-01,-6.09E-01
-0.814,0.338243645,-6.48E-01,-6.07E-01
-0.812,0.331354497,-6.47E-01,-6.05E-01
-0.81,0.324176139,-6.46E-01,-6.03E-01
-0.808,0.316715412,-6.44E-01,-6.00E-01
-0.806,0.308979323,-6.43E-01,-5.98E-01
-0.804,0.300975037,-6.41E-01,-5.95E-01
